,RecordKey,Website.ID,Website.RecordKey,SiteName,Site.section,ViceCounty,established,GridReference,Projection,Precision,lat,long,transect.OS1936.lat,Transect.OS1936.long,transect_length,section_length,section_grid_ref,H1,H2,H3,H4,habitat_description,L1,L2,land_use_description,Recorder,start_time,end_time,sunshine,wind_speed,temperature,TaxonVersionKey,species,latin,queens,workers,males,unknown,Comment,transect_comment,flower_visited,StartDate,EndDate,DateType,Year,Month,Day,Sensitive,Week,TotalCount,Year_Bin,site_count
421,2968,,,Cliffe Pools,Cliffe Pools - S2,West Kent,2009.0,TQ720770,OSGB,100,51.46577835,0.474812508,51.46530914,0.47644034,5941.0,1621.0,TQ725777,19. Seasonally wet and wet marshy grasslands,22. Dry scrub/shrub thickets,,,Rank grass to path edges beyond which is sheep grazed fresh marsh on one side and heavily grazed shrubby grassland. (This area used to be rank grass and shrub but is now heavily cattle grazed with a much reduced surcud height). 50% of scrub now removed.,,,,"Larkin, Paul",10:00:00,13:00:00,Sunny/Cloudy,4. Dust raised and small branches move,20.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,0,3,0,0,,,,28/07/2009,28/07/2009,D,2009,7,28,False,31,3,2009-2010,26
4557,3001,,,Cliffe Pools,Cliffe Pools - S1,West Kent,2009.0,TQ720770,OSGB,100,51.46577835,0.474812508,51.46530914,0.47644034,5941.0,1398.0,TQ730766,22. Dry scrub/shrub thickets,19. Seasonally wet and wet marshy grasslands,25. Hedgerows,,"Mature Scrub (Hawthorn, Elder, Elm) bordered by rank grass and bramble.",,,,"Larkin, Paul",11:20:00,14:45:00,Sunny,3. Leaves and twigs in slight motion,20.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,0,4,0,0,,,,22/09/2010,22/09/2010,D,2010,9,22,False,39,4,2009-2010,26
4559,3003,,,Cliffe Pools,Cliffe Pools - S2,West Kent,2009.0,TQ720770,OSGB,100,51.46577835,0.474812508,51.46530914,0.47644034,5941.0,1621.0,TQ725777,19. Seasonally wet and wet marshy grasslands,22. Dry scrub/shrub thickets,,,Rank grass to path edges beyond which is sheep grazed fresh marsh on one side and heavily grazed shrubby grassland. (This area used to be rank grass and shrub but is now heavily cattle grazed with a much reduced surcud height). 50% of scrub now removed.,,,,"Larkin, Paul",11:20:00,14:45:00,Sunny,3. Leaves and twigs in slight motion,20.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,0,0,1,0,,,,22/09/2010,22/09/2010,D,2010,9,22,False,39,1,2009-2010,26
4562,3005,,,Cliffe Pools,Cliffe Pools - S4,West Kent,2009.0,TQ720770,OSGB,100,51.46577835,0.474812508,51.46530914,0.47644034,5941.0,1599.0,TQ716768,22. Dry scrub/shrub thickets,25. Hedgerows,21. Stands of tall herbs (e.g. nettle and willow-herb beds),,Mature but often scrub similar to S1 but with rank vegetation and brambles. Intertwined also some larger trees.,,,,"Larkin, Paul",11:20:00,14:45:00,Sunny,3. Leaves and twigs in slight motion,20.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,0,3,0,0,,,,22/09/2010,22/09/2010,D,2010,9,22,False,39,3,2009-2010,26
4563,3006,,,Cliffe Pools,Cliffe Pools - S4,West Kent,2009.0,TQ720770,OSGB,100,51.46577835,0.474812508,51.46530914,0.47644034,5941.0,1599.0,TQ716768,22. Dry scrub/shrub thickets,25. Hedgerows,21. Stands of tall herbs (e.g. nettle and willow-herb beds),,Mature but often scrub similar to S1 but with rank vegetation and brambles. Intertwined also some larger trees.,,,,"Larkin, Paul",11:20:00,14:45:00,Sunny,3. Leaves and twigs in slight motion,20.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,0,0,1,0,,,,22/09/2010,22/09/2010,D,2010,9,22,False,39,1,2009-2010,26
5615,3016,,,Cliffe Pools,Cliffe Pools - S1,West Kent,2009.0,TQ720770,OSGB,100,51.46577835,0.474812508,51.46530914,0.47644034,5941.0,1398.0,TQ730766,22. Dry scrub/shrub thickets,19. Seasonally wet and wet marshy grasslands,25. Hedgerows,,"Mature Scrub (Hawthorn, Elder, Elm) bordered by rank grass and bramble.",,,,"Larkin, Paul",11:10:00,14:30:00,Sunny,4. Dust raised and small branches move,21.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,1,0,0,0,,,,25/05/2011,25/05/2011,D,2011,5,25,False,22,1,2011-2012,26
5618,3019,,,Cliffe Pools,Cliffe Pools - S2,West Kent,2009.0,TQ720770,OSGB,100,51.46577835,0.474812508,51.46530914,0.47644034,5941.0,1621.0,TQ725777,19. Seasonally wet and wet marshy grasslands,22. Dry scrub/shrub thickets,,,Rank grass to path edges beyond which is sheep grazed fresh marsh on one side and heavily grazed shrubby grassland. (This area used to be rank grass and shrub but is now heavily cattle grazed with a much reduced surcud height). 50% of scrub now removed.,,,,"Larkin, Paul",11:10:00,14:30:00,Sunny,4. Dust raised and small branches move,21.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,3,0,0,0,,,,25/05/2011,25/05/2011,D,2011,5,25,False,22,3,2011-2012,26
5619,3020,,,Cliffe Pools,Cliffe Pools - S2,West Kent,2009.0,TQ720770,OSGB,100,51.46577835,0.474812508,51.46530914,0.47644034,5941.0,1621.0,TQ725777,19. Seasonally wet and wet marshy grasslands,22. Dry scrub/shrub thickets,,,Rank grass to path edges beyond which is sheep grazed fresh marsh on one side and heavily grazed shrubby grassland. (This area used to be rank grass and shrub but is now heavily cattle grazed with a much reduced surcud height). 50% of scrub now removed.,,,,"Larkin, Paul",11:10:00,14:30:00,Sunny,4. Dust raised and small branches move,21.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,0,1,0,0,,,,25/05/2011,25/05/2011,D,2011,5,25,False,22,1,2011-2012,26
6217,2948,,,Cliffe Pools,Cliffe Pools - S2,West Kent,2009.0,TQ720770,OSGB,100,51.46577835,0.474812508,51.46530914,0.47644034,5941.0,1621.0,TQ725777,19. Seasonally wet and wet marshy grasslands,22. Dry scrub/shrub thickets,,,Rank grass to path edges beyond which is sheep grazed fresh marsh on one side and heavily grazed shrubby grassland. (This area used to be rank grass and shrub but is now heavily cattle grazed with a much reduced surcud height). 50% of scrub now removed.,,,,"Larkin, Paul",12:15:00,15:20:00,Cloudy,3. Leaves and twigs in slight motion,20.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,1,0,0,0,,,,20/06/2011,20/06/2011,D,2011,6,20,False,26,1,2011-2012,26
7164,2935,,,Cliffe Pools,Cliffe Pools - S4,West Kent,2009.0,TQ720770,OSGB,100,51.46577835,0.474812508,51.46530914,0.47644034,5941.0,1599.0,TQ716768,22. Dry scrub/shrub thickets,25. Hedgerows,21. Stands of tall herbs (e.g. nettle and willow-herb beds),,Mature but often scrub similar to S1 but with rank vegetation and brambles. Intertwined also some larger trees.,,,,"Larkin, Paul",11:15:00,14:00:00,Sunny/Cloudy,3. Leaves and twigs in slight motion,19.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,0,1,0,0,,,,28/07/2011,28/07/2011,D,2011,7,28,False,31,1,2011-2012,26
